Stage of the Supply Chain,Risk Factor,Risk Type,Impact Level,Likelihood,Region/Market,Description of the Risk,Mitigation Strategy,Transportation Mode,Transportation Cost,Real-World Data Examples,Risk Duration,Risk Source,Supply Chain Resilience,Historical Frequency,Supply Chain Dependency,Regulatory Impact,Financial Impact,Time to Recovery,Supplier Impact,Backup Strategy,Impact on Product Quality,Probability of Occurrence,Recovery Time Objective (RTO),Business Continuity Plan (BCP)
Manufacturing,Pandemics,Social,High,Likely,Europe,Risk related to Pandemics impacting Manufacturing in Europe,Mitigation strategy for Pandemics in Europe,Road,287.8566101101361,Real-world example of Pandemics in Europe,Ongoing,Internal,High,Occasionally,Important,Yes,356428.5171360601,weeks,Major disruption,No,High,90%,24 hours,No
Distribution,Cyberattacks,Geopolitical,Low,Likely,United States,Risk related to Cyberattacks impacting Distribution in United States,Mitigation strategy for Cyberattacks in United States,Sea,300.64316075363297,Real-world example of Cyberattacks in United States,Short-term,External,High,Frequently,Important,Yes,105957.87584580923,hours,Minor delay,No,High,90%,1 week,Yes
Distribution,Climate Change,Compliance,Medium,Unlikely,United States,Risk related to Climate Change impacting Distribution in United States,Mitigation strategy for Climate Change in United States,Air,924.914864675852,Real-world example of Climate Change in United States,Ongoing,Internal,Medium,Frequently,Important,No,370456.20355901093,hours,Major disruption,Yes,Medium,50%,72 hours,No
Manufacturing,Cyberattacks,Financial,High,Unlikely,United States,Risk related to Cyberattacks impacting Manufacturing in United States,Mitigation strategy for Cyberattacks in United States,Air,329.05696313678163,Real-world example of Cyberattacks in United States,Long-term,External,Medium,Never,Minor,No,894906.7200726726,days,Major disruption,Yes,Low,50%,24 hours,No
Sourcing,Cyberattacks,Financial,Medium,Possible,India,Risk related to Cyberattacks impacting Sourcing in India,Mitigation strategy for Cyberattacks in India,Rail,287.55967741274765,Real-world example of Cyberattacks in India,Long-term,External,Medium,Rarely,Important,Yes,160365.27319998306,days,Major disruption,Yes,High,50%,1 week,Yes
Retail,Supplier Issues,Economic,Low,Possible,India,Risk related to Supplier Issues impacting Retail in India,Mitigation strategy for Supplier Issues in India,Rail,617.1502791000476,Real-world example of Supplier Issues in India,Ongoing,Internal,Low,Frequently,Critical,Yes,816256.7396364999,weeks,Major disruption,No,High,50%,1 week,Yes
Distribution,Cyberattacks,Economic,High,Unlikely,India,Risk related to Cyberattacks impacting Distribution in India,Mitigation strategy for Cyberattacks in India,Sea,490.2031846541174,Real-world example of Cyberattacks in India,Ongoing,External,High,Frequently,Critical,Yes,613437.6504955306,weeks,No effect,Yes,Medium,10%,24 hours,No
Manufacturing,Climate Change,Social,Low,Possible,West Africa,Risk related to Climate Change impacting Manufacturing in West Africa,Mitigation strategy for Climate Change in West Africa,Road,685.961682017767,Real-world example of Climate Change in West Africa,Ongoing,Internal,Low,Never,Critical,No,338476.64258395013,weeks,No effect,No,Low,50%,24 hours,No
Retail,Climate Change,Operational,Low,Unlikely,Europe,Risk related to Climate Change impacting Retail in Europe,Mitigation strategy for Climate Change in Europe,Sea,300.2113389284122,Real-world example of Climate Change in Europe,Ongoing,Internal,Low,Rarely,Minor,Yes,774179.5255002166,days,No effect,Yes,Medium,90%,24 hours,Yes
Sourcing,Geopolitical Instability,Social,Medium,Likely,Europe,Risk related to Geopolitical Instability impacting Sourcing in Europe,Mitigation strategy for Geopolitical Instability in Europe,Rail,825.2723867426008,Real-world example of Geopolitical Instability in Europe,Short-term,Internal,High,Never,Minor,No,582702.1554647436,hours,Major disruption,Yes,High,90%,72 hours,No
Distribution,Labor Strikes,Financial,Low,Likely,United States,Risk related to Labor Strikes impacting Distribution in United States,Mitigation strategy for Labor Strikes in United States,Rail,814.7471893123221,Real-world example of Labor Strikes in United States,Ongoing,External,High,Rarely,Minor,No,575654.3424453621,days,Minor delay,Yes,High,10%,72 hours,No
Distribution,Climate Change,Economic,High,Likely,Europe,Risk related to Climate Change impacting Distribution in Europe,Mitigation strategy for Climate Change in Europe,Air,132.10642763793817,Real-world example of Climate Change in Europe,Ongoing,Internal,Medium,Rarely,Critical,Yes,429950.8108630593,weeks,No effect,Yes,Medium,10%,24 hours,Yes
Retail,Transportation Disruptions,Operational,High,Very Likely,West Africa,Risk related to Transportation Disruptions impacting Retail in West Africa,Mitigation strategy for Transportation Disruptions in West Africa,Sea,833.6128290395802,Real-world example of Transportation Disruptions in West Africa,Short-term,Internal,High,Rarely,Critical,No,762581.2246808812,weeks,No effect,Yes,Low,10%,1 week,No
Retail,Pandemics,Technological,Medium,Very Likely,India,Risk related to Pandemics impacting Retail in India,Mitigation strategy for Pandemics in India,Air,125.17811013670703,Real-world example of Pandemics in India,Short-term,External,Low,Occasionally,Important,Yes,239761.9989422575,days,Major disruption,No,Medium,50%,1 week,No
Distribution,Pandemics,Financial,Low,Possible,Europe,Risk related to Pandemics impacting Distribution in Europe,Mitigation strategy for Pandemics in Europe,Air,501.8513836981717,Real-world example of Pandemics in Europe,Ongoing,External,Medium,Rarely,Critical,Yes,832640.7427528249,hours,No effect,No,Low,90%,24 hours,No
